trainsize,trainsizepc,L-ALBugPrecision,BLBugPrecision,L-ALBugRecall,BLBugRecall,L-ALBugFscore,BLBugFscore,L-ALUserExpPrecision,BLUserExpPrecision,L-ALUserExpRecall,BLUserExpRecall,L-ALUserExpFscore,BLUserExpFscore,L-ALRatingPrecision,BLRatingPrecision,L-ALRatingRecall,BLRatingRecall,L-ALRatingFscore,BLRatingFscore,L-ALFeaturePrecision,BLFeaturePrecision,L-ALFeatureRecall,BLFeatureRecall,L-ALFeatureFscore,BLFeatureFscore,L-ALMacroPrecision,L-ALMacroRecall,L-ALMacroFscore,BLMacroPrecision,BLMacroRecall,BLMacroFscore,M-ALBugPrecision,M-ALBugRecall,M-ALBugFscore,M-ALUserExpPrecision,M-ALUserExpRecall,M-ALUserExpFscore,M-ALRatingPrecision,M-ALRatingRecall,M-ALRatingFscore,M-ALFeaturePrecision,M-ALFeatureRecall,M-ALFeatureFscore,M-ALMacroPrecision,M-ALMacroRecall,M-ALMacroFscore,E-ALBugPrecision,E-ALBugRecall,E-ALBugFscore,E-ALUserExpPrecision,E-ALUserExpRecall,E-ALUserExpFscore,E-ALRatingPrecision,E-ALRatingRecall,E-ALRatingFscore,E-ALFeaturePrecision,E-ALFeatureRecall,E-ALFeatureFscore,E-ALMacroPrecision,E-ALMacroRecall,E-ALMacroFscore
820,57.38278516,0.594328082,0.483337536,0.755267112,0.892233216,0.660329422,0.624444415,0.506074846,0.541558048,0.774217011,0.733948325,0.609510872,0.61701394,0.663065447,0.789511121,0.273318543,0.379771836,0.384408123,0.50533247,0.419806655,0.479431458,0.265660633,0.050847109,0.318223829,0.088927698,0.545818757,0.517115825,0.493118061,0.573459541,0.514200121,0.458929631,0.596506521,0.847626579,0.692376605,0.585800551,0.79158897,0.668465406,0.77315973,0.406557403,0.528546276,0.444453893,0.209286366,0.273945819,0.599980174,0.563764829,0.540833527,0.534787883,0.948540341,0.679324835,0.627496344,0.711620224,0.661474982,0.953102349,0.396325216,0.553090024,0.518684258,0.177814322,0.237185143,0.658517709,0.558575026,0.532768746
860,60.18194542,0.596763386,0.482422877,0.741230935,0.894333432,0.656340469,0.624914499,0.50929162,0.542728779,0.772456147,0.736608848,0.611561766,0.620279196,0.647217771,0.788874297,0.267322649,0.378883129,0.375698654,0.505127875,0.386489312,0.537795278,0.268425035,0.051686476,0.309792362,0.091805601,0.534940522,0.512358692,0.488348313,0.587955308,0.515377971,0.460531793,0.60832127,0.850427251,0.702216561,0.59129827,0.797806002,0.674942297,0.770719221,0.40882961,0.530264762,0.437762779,0.216989547,0.2802345,0.602025385,0.568513102,0.54691453,0.536608313,0.953971702,0.682542589,0.649213077,0.701939589,0.669476807,0.955009928,0.420710503,0.577308714,0.486057469,0.174881728,0.232337043,0.656722197,0.562875881,0.540416288
900,62.98110567,0.599884182,0.475301306,0.731853179,0.903329413,0.654967323,0.62117867,0.505539867,0.547474739,0.766895264,0.727989759,0.606796486,0.620995401,0.631062686,0.787495635,0.251389572,0.380816495,0.35735299,0.506321354,0.358485239,0.527718104,0.269097243,0.047215955,0.301245345,0.084684481,0.523742993,0.504808814,0.480090536,0.584497446,0.514837906,0.458294977,0.624331301,0.84562863,0.711183749,0.595788513,0.813518634,0.68346803,0.778901004,0.412808214,0.535491516,0.427131007,0.223259632,0.283290682,0.606537956,0.573803778,0.553358494,0.537987287,0.956017976,0.684768059,0.664839571,0.696317785,0.675385656,0.955473726,0.438589251,0.593968844,0.461266023,0.170657636,0.227402331,0.654891652,0.565395662,0.545381222
940,65.78026592,0.610623536,0.476297838,0.72148254,0.903091884,0.65693433,0.621721434,0.502769271,0.547631832,0.764689772,0.737780282,0.604273782,0.625360124,0.613100985,0.79241958,0.238312255,0.372169023,0.340951599,0.500323676,0.349014939,0.531846443,0.292194357,0.052451243,0.311321649,0.092764004,0.518877183,0.504169731,0.47837034,0.587048923,0.516373108,0.46004231,0.632699124,0.843214661,0.715444933,0.600076399,0.816325921,0.687593954,0.780256104,0.411404506,0.534746705,0.406041624,0.228598421,0.281715216,0.604768313,0.574885877,0.554875202,0.544492286,0.962152107,0.691864961,0.681187373,0.690097913,0.681115706,0.954650607,0.461486888,0.615276263,0.429476827,0.164781512,0.217410384,0.652451773,0.569629605,0.551416829
980,68.57942617,0.619055231,0.477959107,0.708892689,0.902692359,0.656455849,0.62271714,0.502925705,0.544727805,0.759456566,0.739297791,0.602585544,0.623154964,0.600381234,0.79828611,0.235154098,0.376624255,0.335389371,0.505637668,0.323163874,0.5365349,0.303930355,0.053459627,0.306250834,0.093723857,0.511381511,0.501858427,0.4751704,0.589376981,0.518018508,0.461308407,0.645377438,0.837186284,0.721632821,0.60549306,0.823815433,0.694036674,0.782228646,0.41230788,0.536173734,0.379388632,0.236995539,0.281733367,0.603121944,0.577576284,0.558394149,0.549836168,0.962351244,0.696233106,0.696929817,0.691184502,0.689971707,0.960344109,0.479071334,0.632416646,0.383215014,0.15165693,0.196732467,0.647581277,0.571066002,0.553838482
1020,71.37858642,0.625520333,0.484752532,0.699111958,0.901119368,0.655955256,0.628207094,0.500447009,0.543128103,0.751092663,0.743663622,0.597933971,0.6239328,0.578235669,0.798471202,0.22429141,0.377399498,0.320249071,0.506923784,0.294626329,0.514472934,0.304277169,0.057398833,0.293297478,0.099948123,0.499707335,0.4946933,0.466858944,0.585206193,0.51989533,0.46475295,0.669388899,0.835470869,0.735246426,0.606034479,0.829057685,0.696515806,0.783086049,0.408550713,0.533316661,0.364307241,0.264645001,0.294516631,0.605704167,0.584431067,0.564898881,0.557053635,0.964342013,0.702769022,0.712433984,0.693951737,0.699403967,0.965552821,0.496337888,0.648821505,0.325695972,0.134270261,0.172054092,0.640184103,0.572225475,0.555762146
1060,74.17774668,0.630244857,0.486050951,0.682685014,0.902339763,0.650311178,0.629005024,0.501575458,0.542130757,0.742409836,0.741122181,0.596112185,0.621899228,0.559684866,0.79953351,0.226010343,0.377885239,0.319443468,0.507300092,0.271255929,0.499505633,0.316397468,0.053072925,0.285271789,0.092354171,0.490690278,0.491875665,0.462784655,0.581805213,0.518605027,0.462639629,0.697261941,0.829110826,0.749390733,0.609189007,0.842243812,0.703840565,0.792096833,0.407358858,0.53490056,0.334639125,0.296958709,0.301000053,0.608296726,0.593918051,0.572282978,0.566259635,0.971982726,0.712517164,0.727926273,0.695356742,0.707869791,0.965844359,0.50627553,0.657659329,0.28600224,0.112026546,0.14491688,0.636508127,0.571410386,0.555740791
1100,76.97690693,0.637190388,0.488889725,0.661698807,0.896994774,0.644306248,0.6304343,0.495286188,0.540600916,0.739879969,0.743642721,0.590306581,0.621969826,0.528954224,0.794230332,0.214075077,0.380349798,0.302581015,0.509049947,0.226065014,0.492161733,0.299957238,0.056219739,0.250747274,0.098290678,0.471873954,0.478902773,0.44698528,0.578970676,0.519301758,0.464936188,0.722716032,0.823398438,0.761270175,0.618020801,0.84396171,0.709929796,0.79306194,0.411018298,0.537792247,0.313966399,0.349640668,0.313378362,0.611941293,0.607004778,0.580592645,0.582764574,0.974600507,0.726415473,0.730348472,0.692568249,0.708262128,0.968143236,0.507266567,0.660101736,0.253030563,0.123476488,0.149550482,0.633571711,0.574477953,0.561082455
1140,79.77606718,0.635767942,0.494100275,0.640583253,0.904501593,0.632999795,0.636689866,0.489544641,0.538876634,0.732851245,0.747182223,0.583718941,0.622563651,0.509308568,0.79687675,0.208957006,0.381526087,0.294262201,0.510749934,0.14220895,0.531391109,0.218888577,0.059655269,0.165372036,0.104456872,0.444207525,0.45032002,0.419088243,0.590311192,0.523216293,0.468615081,0.747806405,0.811165815,0.769323658,0.627667018,0.84932267,0.718304671,0.793217279,0.415689597,0.541856346,0.273125533,0.407974482,0.306634835,0.610454059,0.621038141,0.584029877,0.604505606,0.97747563,0.743978675,0.739154348,0.694587959,0.713923752,0.969671369,0.516438098,0.669713613,0.206310843,0.11838568,0.136509147,0.629910542,0.576721842,0.566031297
1180,82.57522743,0.636589195,0.491631742,0.61834899,0.897029768,0.621843498,0.632189694,0.490912164,0.547066021,0.723211448,0.749775016,0.581031206,0.628133728,0.496807026,0.789691192,0.212187484,0.387323746,0.294906307,0.51378491,0.082932439,0.520241148,0.190796804,0.061614503,0.104066309,0.107706743,0.426810206,0.436136182,0.40046183,0.587157526,0.523935758,0.470453769,0.785123402,0.807528414,0.786672111,0.636078711,0.852683553,0.724613708,0.793632245,0.413686362,0.540226157,0.183284088,0.429344097,0.235705384,0.599529611,0.625810607,0.57180434,0.632831638,0.97779577,0.765552387,0.755816666,0.698453149,0.724269977,0.974309918,0.541165258,0.69247495,0.123449842,0.072762235,0.077253765,0.621602016,0.572544103,0.56488777
1220,85.37438768,0.626009816,0.498811642,0.600209757,0.895493054,0.605895551,0.637591458,0.492867755,0.536669141,0.721218109,0.754046772,0.581672852,0.622461601,0.494972475,0.801831531,0.21141849,0.383807711,0.29348444,0.512075183,0.025244921,0.493029101,0.101443001,0.057303377,0.036638478,0.100387651,0.409773742,0.40857234,0.37942283,0.582585354,0.522662729,0.468128973,0.810111731,0.808820272,0.801766206,0.634978844,0.859866032,0.726673151,0.795589565,0.418105375,0.5444539,0.057657383,0.15961039,0.077980752,0.574584381,0.561600517,0.537718502,0.677389328,0.974065869,0.795868864,0.776381421,0.706678383,0.738092164,0.976674024,0.571068687,0.717492574,0.046031746,0.035912698,0.028949291,0.61911913,0.57193141,0.570100723
1260,88.17354794,0.587824554,0.496014542,0.58268137,0.89341286,0.576456024,0.635413703,0.492441053,0.534559125,0.7110989,0.755847481,0.577758428,0.621528001,0.51266541,0.813569391,0.220761444,0.387222805,0.305237055,0.51709785,0,0.504867725,0,0.060023722,0,0.104820997,0.398232754,0.378635428,0.364862877,0.587252696,0.524126717,0.469715138,0.808793265,0.823771019,0.809814098,0.643633018,0.866631986,0.734529646,0.810598939,0.434695359,0.56211336,0,0,0,0.565756305,0.531274591,0.526614276,0.720362007,0.978988926,0.826878915,0.777444586,0.723568246,0.747113648,0.981109107,0.568340377,0.716455317,0,0,0,0.619728925,0.567724387,0.57261197
1300,90.97270819,0.534444381,0.495507832,0.555551117,0.894586418,0.534636784,0.634477785,0.493834181,0.531613678,0.704171956,0.747862726,0.574873732,0.617202651,0.51101122,0.811423066,0.229414574,0.383195414,0.312965679,0.513719005,0,0.465925926,0,0.059530244,0,0.102652302,0.384822446,0.372284412,0.355619049,0.576117626,0.521293701,0.467012936,0.807602121,0.819833237,0.80587084,0.648452158,0.883783649,0.74333628,0.829418153,0.44690863,0.575900531,0,0,0,0.571368108,0.537631379,0.531276913,0.728668019,0.987719379,0.83563328,0.776835897,0.72527983,0.746458753,0.979199744,0.569267893,0.715701188,0,0,0,0.621175915,0.570566776,0.574448305
