BLFeatureFscore
0.748148148
0.75862069
0.737642586
0.744
0.742424242
0.512315271
0.755186722
0.763358779
0.737642586
0.754863813
0.736
0.77394636
0.786516854
0.647058824
0.739299611
0.725925926
0.721311475
0.686192469
0.723577236
0.75
0.765625
0.762295082
0.744360902
0.70781893
0.733870968
0.762962963
0.75862069
0.744
0.746887967
0.663829787
